epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,21080.9,0.55816,0.28792,0.97438,0.98407,0.97969,0.98886,0.81175,0.72286,0.38699,1.06156,0.000307,0.000307,0.000307
142,21504.5,0.56083,0.28938,0.97754,0.98419,0.97958,0.98887,0.81181,0.7221,0.38671,1.06114,0.00030205,0.00030205,0.00030205
143,21925.2,0.55645,0.28668,0.97641,0.98412,0.97968,0.98887,0.81167,0.72174,0.38631,1.06094,0.0002971,0.0002971,0.0002971
144,22346.8,0.55406,0.28618,0.97366,0.98394,0.97961,0.98887,0.81184,0.72116,0.38601,1.06064,0.00029215,0.00029215,0.00029215
145,22772.4,0.55554,0.28481,0.97549,0.98382,0.97963,0.98886,0.8119,0.72067,0.38572,1.0604,0.0002872,0.0002872,0.0002872
146,23200.9,0.55823,0.28553,0.97517,0.98358,0.97955,0.98885,0.81192,0.72018,0.3854,1.06019,0.00028225,0.00028225,0.00028225
147,23626.4,0.5557,0.28318,0.97282,0.98382,0.97951,0.98884,0.81189,0.71961,0.38509,1.05993,0.0002773,0.0002773,0.0002773
148,24049.1,0.55537,0.28502,0.97554,0.98393,0.97893,0.98885,0.81201,0.71901,0.38485,1.05961,0.00027235,0.00027235,0.00027235
149,24472.8,0.5559,0.28341,0.97422,0.98405,0.97872,0.98886,0.81218,0.71857,0.38458,1.05939,0.0002674,0.0002674,0.0002674
150,24901.3,0.55656,0.28394,0.97519,0.98419,0.97856,0.98887,0.8123,0.71807,0.38428,1.05912,0.00026245,0.00026245,0.00026245
151,25327.8,0.55079,0.28219,0.97211,0.98373,0.97856,0.98886,0.81238,0.71762,0.38406,1.05887,0.0002575,0.0002575,0.0002575
152,25754.7,0.54958,0.28136,0.97251,0.98368,0.97871,0.98888,0.81241,0.71714,0.38371,1.05865,0.00025255,0.00025255,0.00025255
153,26182.8,0.54544,0.27893,0.96893,0.98356,0.97858,0.9889,0.81237,0.71682,0.38342,1.05851,0.0002476,0.0002476,0.0002476
154,26609.5,0.54575,0.27953,0.973,0.98392,0.97854,0.98895,0.81252,0.71626,0.38317,1.05827,0.00024265,0.00024265,0.00024265
155,27040.5,0.5471,0.27968,0.97185,0.98404,0.97844,0.98895,0.81266,0.71582,0.38302,1.05809,0.0002377,0.0002377,0.0002377
156,27474.9,0.54263,0.27934,0.96774,0.98436,0.97844,0.98894,0.81264,0.71534,0.3828,1.05786,0.00023275,0.00023275,0.00023275
157,27903,0.54035,0.27763,0.96654,0.98438,0.97844,0.98893,0.81266,0.71505,0.38263,1.05776,0.0002278,0.0002278,0.0002278
158,28331.6,0.54088,0.27753,0.97066,0.9844,0.97786,0.98894,0.81278,0.71471,0.38236,1.05765,0.00022285,0.00022285,0.00022285
159,28759.2,0.53945,0.27606,0.96807,0.9844,0.97783,0.98894,0.81292,0.71441,0.3822,1.05754,0.0002179,0.0002179,0.0002179
160,29190.1,0.53848,0.27671,0.96779,0.98453,0.97785,0.98894,0.81279,0.71412,0.38204,1.05742,0.00021295,0.00021295,0.00021295
161,29623.4,0.53995,0.27614,0.96735,0.98467,0.97769,0.98892,0.81286,0.71374,0.38182,1.05726,0.000208,0.000208,0.000208
162,30057.6,0.54076,0.2749,0.96683,0.98465,0.97769,0.98892,0.81305,0.71325,0.38159,1.05704,0.00020305,0.00020305,0.00020305
163,30495.7,0.53938,0.27571,0.96626,0.98467,0.97769,0.98892,0.81319,0.71277,0.3814,1.05683,0.0001981,0.0001981,0.0001981
164,30929.6,0.5348,0.27329,0.96475,0.98472,0.97769,0.98893,0.81319,0.71227,0.38106,1.0566,0.00019315,0.00019315,0.00019315
165,31363.7,0.53574,0.27381,0.96401,0.98474,0.97769,0.98894,0.81318,0.71187,0.38077,1.05638,0.0001882,0.0001882,0.0001882
166,31800.6,0.5335,0.27225,0.96468,0.98458,0.97769,0.98896,0.81318,0.71145,0.3805,1.05619,0.00018325,0.00018325,0.00018325
167,32236.5,0.53009,0.27064,0.96476,0.98453,0.97769,0.98897,0.81325,0.71094,0.38012,1.05597,0.0001783,0.0001783,0.0001783
168,32679.6,0.53095,0.27104,0.9623,0.98428,0.97778,0.98898,0.8133,0.71054,0.3798,1.05578,0.00017335,0.00017335,0.00017335
169,33118.3,0.53133,0.27098,0.96631,0.98406,0.97782,0.98898,0.8134,0.71016,0.37958,1.0556,0.0001684,0.0001684,0.0001684
170,33556,0.52923,0.26996,0.9632,0.98405,0.97782,0.98899,0.81338,0.70975,0.37935,1.05539,0.00016345,0.00016345,0.00016345
171,33986.3,0.52656,0.2692,0.96343,0.98405,0.97782,0.98899,0.8136,0.70939,0.37918,1.05522,0.0001585,0.0001585,0.0001585
172,34432.6,0.52775,0.26961,0.96219,0.98407,0.97782,0.989,0.81362,0.70896,0.37899,1.05502,0.00015355,0.00015355,0.00015355
173,34876.6,0.52942,0.27057,0.96233,0.98405,0.97782,0.98899,0.81364,0.70865,0.37884,1.05487,0.0001486,0.0001486,0.0001486
174,35325.4,0.52701,0.269,0.9639,0.98395,0.97782,0.989,0.81377,0.70842,0.37872,1.05479,0.00014365,0.00014365,0.00014365
175,35770,0.52697,0.26799,0.96126,0.98379,0.97792,0.98899,0.81375,0.70814,0.37856,1.0547,0.0001387,0.0001387,0.0001387
176,36214.7,0.52466,0.26719,0.96027,0.98367,0.97795,0.98898,0.81411,0.70779,0.37843,1.05456,0.00013375,0.00013375,0.00013375
177,36663.5,0.52714,0.26833,0.96417,0.98379,0.9779,0.98898,0.81419,0.70734,0.37828,1.05435,0.0001288,0.0001288,0.0001288
178,37112.5,0.52815,0.26894,0.96334,0.98392,0.97802,0.98899,0.81455,0.70696,0.37823,1.05418,0.00012385,0.00012385,0.00012385
179,37560.2,0.5278,0.26892,0.96156,0.98392,0.97818,0.989,0.8149,0.70663,0.3781,1.05405,0.0001189,0.0001189,0.0001189
180,38010.7,0.5241,0.26731,0.9607,0.98343,0.97835,0.989,0.81491,0.70625,0.37804,1.05386,0.00011395,0.00011395,0.00011395
181,38455.8,0.52498,0.26756,0.96109,0.98343,0.97834,0.989,0.8152,0.7059,0.37793,1.0537,0.000109,0.000109,0.000109
